"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.2.1.8.07.1.0 - Contribuição Patronal - Militar Ativo","37757298.2","869265","7.2.1.8.07.1.0 - Contribuição Patronal - Militar Ativo","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)","899746257.51","869265","RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","RECEITAS (INTRA-ORÇAMENTÁRIAS) (II)","309546553.28","869265","RECEITAS (INTRA-ORÇAMENTÁRIAS) (II)","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","2.4.1.8.10.6.0 - Transferências de Convênios da União destinadas a Programas de Meio Ambiente","1024736.63","869265","2.4.1.8.10.6.0 - Transferências de Convênios da União destinadas a Programas de Meio Ambiente","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria","1881139041.35","869265","1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores","72865807.61","869265","1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas","5097780.52","869265","1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.05.0.0 - Contribuição dos Militares e Pensionistas para Previdência Militar de Estados e DF","54175356.27","869265","1.2.1.8.05.0.0 - Contribuição dos Militares e Pensionistas para Previdência Militar de Estados e DF","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.05.2.0 - Contribuição do Militar Inativo","15794466.09","869265","1.2.1.8.05.2.0 - Contribuição do Militar Inativo","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.05.3.0 - Contribuição dos Pensionistas Militares","627522.44","869265","1.2.1.8.05.3.0 - Contribuição dos Pensionistas Militares","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.3.8.00.0.0 Transferências dos Municípios -Específicas de Estados, DF e Municípios","898463.36","869265","1.7.3.8.00.0.0 Transferências dos Municípios -Específicas de Estados, DF e Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.4.0.00.0.0 - Transferências de Instituições Privadas","52664112.25","869265","1.7.4.0.00.0.0 - Transferências de Instituições Privadas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","2.1.2.2.00.0.0 Operações de Crédito Contratuais - Mercado Externo","23790000","869265","2.1.2.2.00.0.0 Operações de Crédito Contratuais - Mercado Externo","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.5.8.01.0.0 Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação ¿ FUNDEB","680521270.5","869265","1.7.5.8.01.0.0 Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação ¿ FUNDEB","##------ Sun Mar  1 14:14:45 2026 ------##"
